nombre;marca;presentacion;precio;lugar;unidades;tipo;grupo;categoria_precio
Leche Saborizada;Colanta;1200.0;6128;Éxito;ml;Leche;Alimentos Frescos;Medio
Leche Saborizada;Colanta;1200.0;10200;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche Descremada con Avena;Finesse;1000.0;9760;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche con Avena y Sabor a Canela;Colanta;1080.0;6690;Éxito;ml;Leche;Alimentos Frescos;Medio
Leche Deslactosada con Avena;Alpina;250.0;2220;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche Deslactosada con Avena;Alpina;1200.0;7400;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche con Avena;Alpina;250.0;1990;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche con Avena;Alpina;1000.0;8510;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche con Avena y Sabor a Canela;Colanta;200.0;1580;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche con Avena;Parmalat;1200.0;5880;Éxito;ml;Leche;Alimentos Frescos;Medio
Leche Deslactosada con Avena;Alpina;1000.0;8510;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche con Avena;Alpina;1200.0;8280;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche Descremada con Avena;Finesse;250.0;2570;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche con Avena y Sabor a Canela;Alpina;250.0;2610;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche de Arroz;Isola Bio;1000.0;15050;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche de Arroz;Isola Bio;1000.0;18200;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche de Arroz;Isola Bio;1000.0;20150;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche de Avena;Isola Bio;1000.0;15050;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Vegetal Mixta;Taeq;250.0;11890;Éxito;g;Leche;Alimentos Frescos;Medio-Alto
Leche Larga Vida Entera;De la Cuesta;1100.0;1990;Ara;ml;Leche;Alimentos Frescos;Bajo
Leche Larga Vida Semidescremada Deslactosada;De la Cuesta;1100.0;4200;Ara;ml;Leche;Alimentos Frescos;Medio
Leche Larga Vida Entera;De la Cuesta;5400.0;20340;Ara;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Semidescremada Deslactosada;De la Cuesta;5400.0;17000;Ara;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Entera;Alquería;6600.0;16800;Ara;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Entera;Alquería;1100.0;2800;Ara;ml;Leche;Alimentos Frescos;Bajo
Leche en Polvo Entera;De la Cuesta;350.0;5950;Ara;g;Leche;Alimentos Frescos;Medio
Leche en Polvo Entera;Klim;780.0;17200;Ara;g;Leche;Alimentos Frescos;Alto
Leche en Polvo Entera;Colanta;1000.0;16900;Ara;g;Leche;Alimentos Frescos;Alto
Leche Condensada;D'lish;400.0;3950;Ara;g;Leche;Alimentos Frescos;Medio
Leche con Sabor a Fresa;Tiki;200.0;1090;Ara;ml;Leche;Alimentos Frescos;Bajo
Leche con Sabor a Chocolate;Tiki;200.0;1090;Ara;ml;Leche;Alimentos Frescos;Bajo
Leche con Sabor a Vainilla;Tiki;200.0;1090;Ara;ml;Leche;Alimentos Frescos;Bajo
Leche Saborizada;Colanta;200.0;3100;Ara;ml;Leche;Alimentos Frescos;Bajo
Leche con Avena;Alpina;250.0;2150;Ara;ml;Leche;Alimentos Frescos;Bajo
Leche con Avena;D'lish;200.0;700;Ara;ml;Leche;Alimentos Frescos;Bajo
Leche Larga Vida Semidescremada Deslactosada;Alpina;4000.0;10942;Jumbo;ml;Leche;Alimentos Frescos;Medio-Alto
Leche Larga Vida Descremada Deslactosada;Alpina;6600.0;22990;Jumbo;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Descremada Deslactosada;Alpina;3600.0;21990;Jumbo;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Semidescremada Deslactosada;Alquería;1000.0;3990;Jumbo;ml;Leche;Alimentos Frescos;Medio
