,nombre,marca,presentacion,precio,lugar
359,Pan Blanco para Perro,Perman, 420 g,3 683 $,Éxito
360,Pan Blanco para Perro,Bimbo, 405 g,4 330 $,Éxito
361,Pan Blanco para Sánduche,Perman, 180 g,1 670 $,Éxito
362,Pan Blanco Tajado,Bimbo, 600 g,3 990 $,Éxito
363,Pan Blanco Tajado,Bimbo, 350 g,3 450 $,Éxito
364,Pan Blanco Tajado,Éxito, 450 g,3 100 $,Éxito
365,Pan Blanco Tajado,Éxito, 600 g,4 450 $,Éxito
366,Pan Blanco Tajado,Perman, 470 g,4 740 $,Éxito
367,Pan Blanco Tajado,Ekono, 420 g,2 210 $,Éxito
368,Pan Blanco Tajado,Mamá Inés, 420 g,3 570 $,Éxito
369,Pan Blanco Tajado con Mantequilla,Mamá Inés, 420 g,3 760 $,Éxito
